sep=;
Modul;Kennung;Titel;Ver;Gew;LP;Sem
M-WIWI-101446;T-WIWI-102640;Market Engineering: Information in Institutions;1;1;4,5;0
M-WIWI-101446;T-WIWI-102613;Auktionstheorie;1;1;4,5;0
M-WIWI-101446;T-WIWI-108880;Blockchains & Cryptofinance;1;1;4,5;0
M-WIWI-101446;T-WIWI-110797;eFinance: Informationssysteme für den Wertpapierhandel;1;1;4,5;0
M-WIWI-101446;T-WIWI-107501;Energy Market Engineering;1;1;4,5;0
M-WIWI-101446;T-WIWI-107503;Energy Networks and Regulation;1;1;4,5;0
M-WIWI-101446;T-WIWI-102614;Experimentelle Wirtschaftsforschung;1;1;4,5;0
M-WIWI-101446;T-WIWI-111109;KD²Lab Forschungspraktikum: New Ways and Tools in Experimental Economics;1;1;4,5;0
M-WIWI-101446;T-WIWI-107504;Smart Grid Applications;2;1;4,5;0
M-WIWI-101506;T-WIWI-108715;Artificial Intelligence in Service Systems;1;1;4,5;0
M-WIWI-101506;T-WIWI-105777;Business Intelligence Systems;2;1;4,5;0
M-WIWI-101506;T-WIWI-102899;Modeling and Analyzing Consumer Behavior with R;1;1;4,5;0
M-WIWI-101506;T-WIWI-105778;Service Analytics A;2;1;4,5;0
M-WIWI-101506;T-WIWI-109940;Spezialveranstaltung Wirtschaftsinformatik;2;1;4,5;0
M-WIWI-101503;T-WIWI-102849;Service Design Thinking;4;1;12,0;0
M-WIWI-102754;T-WIWI-110280;Digital Services: Business Models and Transformation;1;1;4,5;0
M-WIWI-102754;T-WIWI-102640;Market Engineering: Information in Institutions;1;1;4,5;0
M-WIWI-102806;T-WIWI-110877;Engineering Interactive Systems;1;1;4,5;0
M-WIWI-102806;T-WIWI-102639;Geschäftsmodelle im Internet: Planung und Umsetzung;2;1;4,5;0
M-WIWI-102806;T-WIWI-110887;Practical Seminar: Service Innovation;1;1;4,5;0
M-WIWI-102806;T-WIWI-108437;Seminarpraktikum: Information Systems und Service Design;2;1;4,5;0
M-WIWI-102806;T-WIWI-102641;Service Innovation;1;1;4,5;0
M-WIWI-101448;T-WIWI-110280;Digital Services: Business Models and Transformation;1;1;4,5;0
M-WIWI-101448;T-WIWI-108715;Artificial Intelligence in Service Systems;1;1;4,5;0
M-WIWI-101448;T-WIWI-102899;Modeling and Analyzing Consumer Behavior with R;1;1;4,5;0
M-WIWI-101448;T-WIWI-105778;Service Analytics A;2;1;4,5;0
M-WIWI-101448;T-WIWI-102641;Service Innovation;1;1;4,5;0
M-WIWI-103119;T-WIWI-106188;Workshop aktuelle Themen Strategie und Management;1;1;3,0;0
M-WIWI-103119;T-WIWI-106189;Workshop Business Wargaming – Analyse strategischer Interaktionen;1;1;3,0;0
M-WIWI-103119;T-WIWI-106190;Strategie- und Managementtheorie: Entwicklungen und Klassiker;1;1;3,0;0
M-WIWI-105010;T-WIWI-102864;Entrepreneurship;1;0,6;3,0;0
M-WIWI-105010;T-WIWI-110166;SIL Entrepreneurship Projekt;1;0,2;3,0;0
M-WIWI-105010;T-WIWI-110287;SIL Entrepreneurship Vertiefung;1;0,2;3,0;0
M-WIWI-101497;T-WIWI-102609;Advanced Topics in Economic Theory;1;1;4,5;0
M-WIWI-101497;T-WIWI-109194;Dynamic Macroeconomics;1;1;4,5;0
M-WIWI-101497;T-WIWI-102840;Innovationstheorie und -politik;1;1;4,5;0
M-WIWI-101497;T-WIWI-103107;Spatial Economics;1;1;4,5;0
M-WIWI-101453;T-WIWI-102861;Advanced Game Theory;1;1;4,5;0
M-WIWI-101453;T-WIWI-102613;Auktionstheorie;1;1;4,5;0
M-WIWI-101453;T-WIWI-102614;Experimentelle Wirtschaftsforschung;1;1;4,5;0
M-WIWI-101453;T-WIWI-102622;Corporate Financial Policy;1;1;4,5;0
M-WIWI-101453;T-WIWI-102623;Finanzintermediation;1;1;4,5;0
M-WIWI-101453;T-WIWI-102640;Market Engineering: Information in Institutions;1;1;4,5;0
M-WIWI-101453;T-WIWI-102862;Predictive Mechanism and Market Design;1;1;4,5;0
M-WIWI-101453;T-WIWI-105781;Incentives in Organizations;1;1;4,5;0
M-WIWI-101504;T-WIWI-102740;Public Management;1;1;4,5;0
M-WIWI-101504;T-WIWI-102859;Social Choice Theory;1;1;4,5;0
M-WIWI-101505;T-WIWI-102614;Experimentelle Wirtschaftsforschung;1;1;4,5;0
M-WIWI-101505;T-WIWI-105781;Incentives in Organizations;1;1;4,5;0
M-WIWI-101505;T-WIWI-102862;Predictive Mechanism and Market Design;1;1;4,5;0
M-WIWI-101505;T-WIWI-102863;Topics in Experimental Economics;1;1;4,5;0
M-WIWI-101514;T-WIWI-102840;Innovationstheorie und -politik;1;1;4,5;0
M-WIWI-101514;T-WIWI-102906;Methods in Economic Dynamics;2;1;1,5;0
M-WIWI-101514;T-WIWI-109864;Product and Innovation Management;1;1;3,0;0
M-WIWI-101514;T-WIWI-102789;Seminar in Wirtschaftspolitik;1;1;3,0;0
M-WIWI-101478;T-WIWI-109194;Dynamic Macroeconomics;1;1;4,5;0
M-WIWI-101478;T-WIWI-102785;Endogene Wachstumstheorie;1;1;4,5;0
M-WIWI-101478;T-WIWI-102840;Innovationstheorie und -politik;1;1;4,5;0
M-WIWI-101500;T-WIWI-102609;Advanced Topics in Economic Theory;1;1;4,5;0
M-WIWI-101500;T-WIWI-102861;Advanced Game Theory;1;1;4,5;0
M-WIWI-101500;T-WIWI-102859;Social Choice Theory;1;1;4,5;0
M-WIWI-101500;T-WIWI-102613;Auktionstheorie;1;1;4,5;0
M-WIWI-101500;T-WIWI-105781;Incentives in Organizations;1;1;4,5;0
M-WIWI-101406;T-WIWI-100005;Wettbewerb in Netzen;3;1;4,5;0
M-WIWI-101406;T-WIWI-100007;Transportökonomie;1;1;4,5;0
M-WIWI-101406;T-WIWI-102609;Advanced Topics in Economic Theory;1;1;4,5;0
M-WIWI-101406;T-WIWI-102712;Regulierungstheorie und -praxis;2;1;4,5;0
M-WIWI-101406;T-WIWI-102713;Telekommunikations- und Internetökonomie;1;1;4,5;0
M-WIWI-101638;T-WIWI-103125;Angewandte Ökonometrie;1;1;4,5;0
M-WIWI-101638;T-WIWI-103066;Data Mining and Applications;2;1;4,5;0
M-WIWI-101638;T-WIWI-103064;Financial Econometrics;2;1;4,5;0
M-WIWI-101638;T-WIWI-103126;Nicht- und Semiparametrik;1;1;4,5;0
M-WIWI-101638;T-WIWI-103127;Paneldaten;1;1;4,5;0
M-WIWI-101638;T-WIWI-110868;Predictive Modeling;1;1;4,5;0
M-WIWI-101638;T-WIWI-103065;Statistische Modellierung von allgemeinen Regressionsmodellen;1;1;4,5;0
M-WIWI-101638;T-WIWI-110939;Financial Econometrics II;2;1;4,5;0
M-WIWI-101502;T-WIWI-102609;Advanced Topics in Economic Theory;1;1;4,5;0
M-WIWI-101502;T-WIWI-102861;Advanced Game Theory;1;1;4,5;0
M-WIWI-101502;T-WIWI-102647;Asset Pricing;2;1;4,5;0
M-WIWI-101502;T-WIWI-102622;Corporate Financial Policy;1;1;4,5;0
M-WIWI-101502;T-WIWI-109050;Corporate Risk Management;2;1;4,5;0
M-WIWI-101502;T-WIWI-102623;Finanzintermediation;1;1;4,5;0
M-WIWI-101468;T-WIWI-102650;Energie und Umwelt;1;1;4,5;0
M-WIWI-101468;T-WIWI-100007;Transportökonomie;1;1;4,5;0
M-WIWI-101468;T-WIWI-102615;Umweltökonomik und Nachhaltigkeit;1;1;5,0;0
M-WIWI-101468;T-WIWI-102616;Umwelt- und Ressourcenpolitik;1;1;4,0;0
M-WIWI-101468;T-BGU-111102;Umweltrecht;1;1;3,0;0
M-WIWI-101511;T-WIWI-102740;Public Management;1;1;4,5;0
M-WIWI-101511;T-WIWI-108711;Grundlagen der Unternehmensbesteuerung;2;1;4,5;0
M-WIWI-101511;T-WIWI-102739;Öffentliche Einnahmen;1;1;4,5;0
M-WIWI-101485;T-WIWI-103107;Spatial Economics;1;1;4,5;0
M-WIWI-101485;T-WIWI-100007;Transportökonomie;1;1;4,5;0
M-WIWI-101496;T-WIWI-109194;Dynamic Macroeconomics;1;1;4,5;0
M-WIWI-101496;T-WIWI-102785;Endogene Wachstumstheorie;1;1;4,5;0
M-WIWI-101496;T-WIWI-103107;Spatial Economics;1;1;4,5;0
M-WIWI-101472;T-WIWI-110339;Angewandte Informatik – Internet Computing;1;1;4,5;0
M-WIWI-101472;T-WIWI-102680;Computational Economics;3;1;4,5;0
M-WIWI-101472;T-WIWI-109248;Critical Information Infrastructures;4;1;4,5;0
M-WIWI-101472;T-WIWI-109246;Digital Health;3;1;4,5;0
M-WIWI-101472;T-WIWI-109270;Human Factors in Security and Privacy;3;1;4,5;0
M-WIWI-101472;T-WIWI-102661;Datenbanksysteme und XML;2;1;4,5;0
M-WIWI-101472;T-WIWI-102668;Enterprise Architecture Management;2;1;4,5;0
M-WIWI-101472;T-WIWI-110346;Ergänzung Betriebliche Informationssysteme;1;1;4,5;0
M-WIWI-101472;T-WIWI-110372;Ergänzung Software- und Systemsengineering;1;1;4,5;0
M-WIWI-101472;T-WIWI-106423;Information Service Engineering;2;1;4,5;0
M-WIWI-101472;T-WIWI-110863;Introduction to Data Science;1;1;4,5;0
M-WIWI-101472;T-WIWI-102666;Knowledge Discovery;2;1;4,5;0
M-WIWI-101472;T-WIWI-102667;Management von Informatik-Projekten;3;1;4,5;0
M-WIWI-101472;T-WIWI-106340;Maschinelles Lernen 1 - Grundverfahren;3;1;4,5;0
M-WIWI-101472;T-WIWI-106341;Maschinelles Lernen 2 - Fortgeschrittene Verfahren;2;1;4,5;0
M-WIWI-101472;T-WIWI-102697;Modellierung von Geschäftsprozessen;2;1;4,5;0
M-WIWI-101472;T-WIWI-102679;Naturinspirierte Optimierungsverfahren;2;1;4,5;0
M-WIWI-101472;T-WIWI-109799;Process Mining;2;1;4,5;0
M-WIWI-101472;T-WIWI-110848;Semantic Web Technologies;1;1;4,5;0
M-WIWI-101472;T-WIWI-102895;Software-Qualitätsmanagement;2;1;4,5;0
M-WIWI-101472;T-WIWI-102669;Strategisches Management der betrieblichen Informationsverarbeitung;2;1;4,5;0
M-WIWI-101472;T-WIWI-103112;Web Science;2;1;4,5;0
M-WIWI-101472;T-WIWI-110144;Emerging Trends in Digital Health;2;1;4,5;0
M-WIWI-101472;T-WIWI-110143;Emerging Trends in Internet Technologies;2;1;4,5;0
M-WIWI-101472;T-WIWI-109249;Entwicklung Soziotechnischer Informationssysteme;2;1;4,5;0
M-WIWI-101472;T-WIWI-111126;Praktikum Blockchain Hackathon (Master);1;1;4,5;0
M-WIWI-101472;T-WIWI-111125;Praktikum Entwicklung Soziotechnischer Informationssysteme (Master);1;1;4,5;0
M-WIWI-101472;T-WIWI-110548;Praktikum Informatik (Master);1;1;4,5;0
M-WIWI-101472;T-WIWI-108439;Praktikum Security, Usability and Society;2;1;4,5;0
M-WIWI-101472;T-WIWI-109786;Praktikum Sicherheit;2;1;4,5;0
